dtidx,id,px
5299,sec_8,1271.5
5300,sec_8,1269.75
5301,sec_8,1274.48
5302,sec_8,1285.95
5303,sec_8,1283.76
5304,sec_8,1293.24
5305,sec_8,1295.02
5306,sec_8,1281.92
5307,sec_8,1280.26
5308,sec_8,1283.35
5309,sec_8,1290.84
5310,sec_8,1291.18
5311,sec_8,1296.63
5312,sec_8,1299.54
5313,sec_8,1276.34
5314,sec_8,1286.12
5315,sec_8,1307.59
5316,sec_8,1304.03
5317,sec_8,1307.1
5318,sec_8,1310.87
5319,sec_8,1319.05
5320,sec_8,1324.57
5321,sec_8,1320.88
5322,sec_8,1321.87
5323,sec_8,1329.15
5324,sec_8,1332.32
5325,sec_8,1328.01
5326,sec_8,1336.32
5327,sec_8,1340.43
5328,sec_8,1343.01
5329,sec_8,1315.44
5330,sec_8,1307.4
5331,sec_8,1306.1
5332,sec_8,1319.88
5333,sec_8,1327.22
5334,sec_8,1306.33
5335,sec_8,1308.44
5336,sec_8,1330.97
5337,sec_8,1321.15
5338,sec_8,1310.13
5339,sec_8,1321.82
5340,sec_8,1320.03
5341,sec_8,1295.11
5342,sec_8,1304.28
5343,sec_8,1296.39
5344,sec_8,1281.87
5345,sec_8,1256.88
5346,sec_8,1273.71
5347,sec_8,1279.2
5348,sec_8,1298.38
5349,sec_8,1293.77
5350,sec_8,1297.54
5351,sec_8,1309.66
5352,sec_8,1313.8
5353,sec_8,1310.19
5354,sec_8,1319.44
5355,sec_8,1328.26
5356,sec_8,1325.83
5357,sec_8,1332.41
5358,sec_8,1332.87
5359,sec_8,1332.63
5360,sec_8,1335.54
5361,sec_8,1333.51
5362,sec_8,1328.17
5363,sec_8,1324.46
5364,sec_8,1314.16
5365,sec_8,1314.41
5366,sec_8,1314.52
5367,sec_8,1319.68
5368,sec_8,1305.14
5369,sec_8,1312.62
5370,sec_8,1330.36
5371,sec_8,1337.38
5372,sec_8,1335.25
5373,sec_8,1347.24
5374,sec_8,1355.66
5375,sec_8,1360.48
5376,sec_8,1363.61
5377,sec_8,1361.22
5378,sec_8,1356.62
5379,sec_8,1347.32
5380,sec_8,1335.1
5381,sec_8,1340.2
5382,sec_8,1346.3
5383,sec_8,1357.16
5384,sec_8,1342.08
5385,sec_8,1348.65
5386,sec_8,1337.77
5387,sec_8,1329.47
5388,sec_8,1328.98
5389,sec_8,1340.68
5390,sec_8,1343.6
5391,sec_8,1333.27
5392,sec_8,1317.37
5393,sec_8,1316.28
5394,sec_8,1320.47
5395,sec_8,1325.69
5396,sec_8,1331.1
5397,sec_8,1345.2
5398,sec_8,1314.55
5399,sec_8,1312.94
5400,sec_8,1300.16
5401,sec_8,1286.17
5402,sec_8,1284.94
5403,sec_8,1279.56
5404,sec_8,1289
5405,sec_8,1270.98
5406,sec_8,1271.83
5407,sec_8,1287.87
5408,sec_8,1265.42
5409,sec_8,1267.64
5410,sec_8,1271.5
5411,sec_8,1278.36
5412,sec_8,1295.52
5413,sec_8,1287.14
5414,sec_8,1283.5
5415,sec_8,1268.44
5416,sec_8,1280.1
5417,sec_8,1296.67
5418,sec_8,1307.41
5419,sec_8,1320.64
5420,sec_8,1339.67
5421,sec_8,1337.88
5422,sec_8,1339.22
5423,sec_8,1353.22
5424,sec_8,1343.8
5425,sec_8,1319.49
5426,sec_8,1313.64
5427,sec_8,1317.72
5428,sec_8,1308.87
5429,sec_8,1316.14
5430,sec_8,1305.44
5431,sec_8,1326.73
5432,sec_8,1325.84
5433,sec_8,1343.8
5434,sec_8,1345.02
5435,sec_8,1337.43
5436,sec_8,1331.94
5437,sec_8,1304.89
5438,sec_8,1300.67
5439,sec_8,1292.28
5440,sec_8,1286.94
5441,sec_8,1254.05
5442,sec_8,1260.34
5443,sec_8,1200.07
5444,sec_8,1199.38
5445,sec_8,1119.46
5446,sec_8,1172.53
5447,sec_8,1120.76
5448,sec_8,1172.64
5449,sec_8,1178.81
5450,sec_8,1204.49
5451,sec_8,1192.76
5452,sec_8,1193.88
5453,sec_8,1140.65
5454,sec_8,1123.53
5455,sec_8,1123.82
5456,sec_8,1162.35
5457,sec_8,1177.6
5458,sec_8,1159.27
5459,sec_8,1176.8
5460,sec_8,1210.09
5461,sec_8,1212.92
5462,sec_8,1218.89
5463,sec_8,1204.42
5464,sec_8,1173.97
