DATE,VALUE
1974-12-23,6.7114
1974-12-24,6.7114
1974-12-25,.
1974-12-26,6.7114
1974-12-27,6.7114
1974-12-30,6.7114
1974-12-31,6.7114
1975-01-01,.
1975-01-02,6.7114
1975-01-03,6.7114
1975-01-06,6.7114
1975-01-07,6.7114
1975-01-08,6.7114
1975-01-09,6.7114
1975-01-10,6.7114
1975-01-13,6.7114
1975-01-14,6.7114
1975-01-15,6.7114
1975-01-16,6.7114
1975-01-17,6.7114
1975-01-20,6.7114
1975-01-21,6.7114
1975-01-22,6.7114
1975-01-23,6.7114
1975-01-24,6.7114
1975-01-27,6.7114
1975-01-28,6.7114
1975-01-29,6.7114
1975-01-30,6.7114
1975-01-31,6.7114
1975-02-03,6.7114
1975-02-04,6.7114
1975-02-05,6.7114
1975-02-06,6.7114
1975-02-07,6.4935
1975-02-10,6.4935
1975-02-11,6.4935
1975-02-12,.
1975-02-13,6.4935
1975-02-14,6.5359
1975-02-17,.
1975-02-18,6.5359
1975-02-19,6.5359
1975-02-20,6.5359
1975-02-21,6.5359
1975-02-24,6.5359
1975-02-25,6.5359
1975-02-26,6.5359
1975-02-27,6.5359
1975-02-28,6.4935
1975-03-03,6.4935
1975-03-04,6.4935
1975-03-05,6.4935
1975-03-06,6.4935
1975-03-07,6.4935
1975-03-10,6.4935
1975-03-11,6.4935
1975-03-12,6.4935
1975-03-13,6.4935
1975-03-14,6.4935
1975-03-17,6.4935
1975-03-18,6.4935
1975-03-19,6.4935
1975-03-20,6.4935
1975-03-21,6.4935
1975-03-24,6.4935
1975-03-25,6.4935
1975-03-26,6.4935
1975-03-27,6.4935
1975-03-28,6.4935
1975-03-31,6.4935
1975-04-01,6.4935
1975-04-02,6.4935
1975-04-03,6.4935
1975-04-04,6.4935
1975-04-07,6.4935
1975-04-08,6.4935
1975-04-09,6.4935
1975-04-10,6.4935
1975-04-11,6.4935
1975-04-14,6.4935
1975-04-15,6.4935
1975-04-16,6.4935
1975-04-17,6.4935
1975-04-18,6.4935
1975-04-21,6.4935
1975-04-22,6.4935
1975-04-23,6.4935
1975-04-24,6.4935
1975-04-25,6.4935
1975-04-28,6.4935
1975-04-29,6.4935
1975-04-30,6.4935
1975-05-01,6.4935
1975-05-02,6.4935
1975-05-05,6.4935
1975-05-06,6.4935
1975-05-07,6.4935
1975-05-08,6.4935
1975-05-09,6.4935
1975-05-12,6.4935
1975-05-13,6.4935
1975-05-14,6.4935
1975-05-15,6.4935
1975-05-16,6.4935
1975-05-19,6.4935
1975-05-20,6.4935
1975-05-21,6.4935
1975-05-22,6.4935
1975-05-23,6.4935
1975-05-26,.
1975-05-27,6.4935
1975-05-28,6.4935
1975-05-29,6.4935
1975-05-30,6.4935
1975-06-02,6.4935
1975-06-03,6.4935
1975-06-04,6.4935
1975-06-05,6.4935
1975-06-06,6.4935
1975-06-09,6.4935
1975-06-10,6.4935
1975-06-11,6.4935
1975-06-12,6.4935
1975-06-13,6.4935
1975-06-16,6.4935
1975-06-17,6.4935
1975-06-18,6.4935
1975-06-19,6.4935
1975-06-20,6.7568
1975-06-23,6.7568
1975-06-24,6.7568
1975-06-25,6.7568
1975-06-26,6.7568
1975-06-27,6.8966
1975-06-30,6.8966
1975-07-01,6.8966
1975-07-02,6.8966
1975-07-03,6.8966
1975-07-04,.
1975-07-07,6.8966
1975-07-08,6.8966
1975-07-09,6.8966
1975-07-10,6.8966
1975-07-11,7.1073
1975-07-14,7.1073
1975-07-15,7.1073
1975-07-16,7.1073
1975-07-17,7.1073
1975-07-18,7.1174
1975-07-21,7.1174
1975-07-22,7.1174
1975-07-23,7.1174
1975-07-24,7.1174
1975-07-25,7.1023
1975-07-28,7.1023
1975-07-29,7.1023
1975-07-30,7.1023
1975-07-31,7.1023
1975-08-01,7.1174
1975-08-04,7.1174
1975-08-05,7.1174
1975-08-06,7.1174
